job_role,description,required_skills,industry,typical_experience_years,median_salary_est_usd
Pharmacist,Dispenses medication and advises on safe usage,"Pharmacy, Drug Knowledge, Communication, Compliance",Healthcare,0,100000
Physician (General),Provides primary healthcare and medical advice,"Medicine, Diagnosis, Empathy, Communication",Retail,2,60000
Nurse,Offers patient care and assists doctors in treatment,"Nursing, Empathy, Communication, First Aid",Healthcare,1,50000
Dentist,Diagnoses and treats oral health issues,"Dentistry, Precision, Communication, Patient Care",Technology,5,80000
Veterinarian,Provides medical care for animals,"Veterinary Medicine, Diagnosis, Surgery, Compassion",Healthcare,7,150000
Public Health Specialist,Develops programs to improve community health,"Epidemiology, Data Analysis, Communication, Policy",Healthcare,4,50000
Environmental Scientist,Studies and manages environmental issues for sustainability,"Ecology, Data Analysis, Research, GIS",Technology,8,80000
Sustainability Analyst,Evaluates sustainability practices and develops improvement strategies,"ESG, Data Analysis, Policy, Reporting",Finance,8,60000
Urban Planner,Designs and develops city plans for sustainable growth,"Planning, GIS, Zoning, Architecture",Education,8,60000
Civil Engineer,"Designs, constructs, and maintains infrastructure projects","AutoCAD, Structural Analysis, Project Management",Technology,7,30000
Structural Engineer,Analyzes and designs structures ensuring safety and durability,"Structural Analysis, AutoCAD, Revit, Engineering",Technology,1,100000
Mechanical Engineer,Designs and develops mechanical systems and devices,"CAD, SolidWorks, Thermodynamics, Manufacturing",Technology,6,120000
Electrical Engineer,Designs and maintains electrical systems and circuits,"Circuit Design, MATLAB, Power Systems",Technology,1,90000
Chemical Engineer,Develops processes for chemical manufacturing and materials,"Chemistry, Process Engineering, Safety",Technology,8,80000
Materials Scientist,Studies and develops new materials for industrial applications,"Materials Testing, Chemistry, Research",Technology,1,60000
Industrial Designer,Designs and improves products with functionality and aesthetics,"3D Design, CAD, Creativity, Prototyping",Design,1,150000
Chef,Prepares dishes and manages kitchen operations,"Cooking, Creativity, Time Management, Hygiene",Hospitality,5,30000
Restaurant Manager,Oversees restaurant operations ensuring quality and service,"Management, Customer Service, Scheduling",Hospitality,6,60000
Food Technologist,Develops and tests food products for quality and safety,"Food Science, Chemistry, Lab Testing",Design,0,90000
Nutritionist,Provides dietary advice and health guidance,"Nutrition, Communication, Health, Counseling",Hospitality,7,40000
Event Planner,Organizes and coordinates events ensuring smooth execution,"Planning, Communication, Budgeting, Negotiation",Hospitality,3,40000
Legal Counsel,Provides legal advice and ensures compliance,"Law, Contracts, Communication, Negotiation",Government,4,150000
Paralegal,Supports lawyers by preparing documents and research,"Legal Research, Documentation, Communication",Government,6,120000
Compliance Officer,Ensures organizations follow regulatory requirements,"Compliance, Risk Assessment, Auditing",Government,10,40000
Policy Analyst,Researches and evaluates policies to guide decision-making,"Policy, Research, Communication, Writing",Finance,2,30000
Research Associate,Conducts research and analysis in academic or corporate projects,"Research, Data Analysis, Writing, Communication",Manufacturing,7,80000
Teacher (Primary),Educates young children with foundational knowledge,"Teaching, Communication, Patience, Creativity",Education,3,50000
Teacher (Secondary),Instructs students in specialized subjects,"Subject Knowledge, Teaching, Communication",Education,6,80000
College Lecturer,Teaches college-level subjects and conducts research,"Teaching, Research, Communication, Subject Expertise",Education,6,80000
Instructional Designer,Designs learning materials and e-learning modules,"Curriculum Design, Storyboarding, LMS",Education,0,30000
Curriculum Developer,Develops academic curricula and educational materials,"Curriculum Planning, Research, Writing",Technology,1,30000
Architect,Designs buildings ensuring function and aesthetics,"AutoCAD, Revit, Design, Planning",Design,3,40000
Interior Designer,Plans and designs functional and aesthetic interior spaces,"AutoCAD, SketchUp, Creativity, Space Planning",Design,7,80000
Real Estate Agent,"Assists clients in buying, selling, or renting properties","Negotiation, Communication, Sales",Government,8,100000
Property Manager,Manages rental properties and tenant relationships,"Management, Accounting, Communication",Manufacturing,4,100000
Landscape Architect,Designs outdoor spaces for functionality and beauty,"Design, AutoCAD, Ecology, Creativity",Design,0,50000
Photographer,Captures and edits professional photos,"Photography, Photoshop, Lighting",Design,2,120000
Art Director,Oversees creative projects ensuring visual consistency,"Creativity, Leadership, Branding",Design,8,120000
Museum Curator,Manages collections and exhibitions in museums,"Research, Curation, History",Manufacturing,6,40000
Archivist,Preserves and organizes historical documents and records,"Archiving, Cataloging, Research",Design,4,50000
